Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[4],Identity,1,0.1,16,0.017730491
[4],Identity,1,0.1,32,0.01741768
[4],Identity,1,0.1,64,0.01727551
[4],Identity,1,0.1,128,0.019923734
[4],Identity,1,0.1,256,0.023089161
[4],Identity,1,0.1,512,0.032026302
[4],Identity,1,0.01,16,0.018485606
[4],Identity,1,0.01,32,0.034315865
[4],Identity,1,0.01,64,0.042121056
[4],Identity,1,0.01,128,0.13007031
[4],Identity,1,0.01,256,0.34960446
[4],Identity,1,0.01,512,0.66031903
[4],Identity,1,0.001,16,0.13250571
[4],Identity,1,0.001,32,0.033403303
[4],Identity,1,0.001,64,0.5254214
[4],Identity,1,0.001,128,0.48870713
[4],Identity,1,0.001,256,0.25934798
[4],Identity,1,0.001,512,0.28943047
[4],Identity,1,0.0001,16,0.23053873
[4],Identity,1,0.0001,32,1.0149565
[4],Identity,1,0.0001,64,0.12747307
[4],Identity,1,0.0001,128,0.6457296
[4],Identity,1,0.0001,256,0.2022688
[4],Identity,1,0.0001,512,1.0642375
[4],Identity,10,0.1,16,0.016048664
[4],Identity,10,0.1,32,0.015894083
[4],Identity,10,0.1,64,0.016747486
[4],Identity,10,0.1,128,0.016403852
[4],Identity,10,0.1,256,0.016088346
[4],Identity,10,0.1,512,0.017107397
[4],Identity,10,0.01,16,0.015965438
[4],Identity,10,0.01,32,0.01631544
[4],Identity,10,0.01,64,0.017843142
[4],Identity,10,0.01,128,0.017678635
[4],Identity,10,0.01,256,0.02548103
[4],Identity,10,0.01,512,0.032223076
[4],Identity,10,0.001,16,0.022171382
[4],Identity,10,0.001,32,0.021900013
[4],Identity,10,0.001,64,0.061450087
[4],Identity,10,0.001,128,0.1346599
[4],Identity,10,0.001,256,0.11121615
[4],Identity,10,0.001,512,0.4600465
[4],Identity,10,0.0001,16,0.12519489
[4],Identity,10,0.0001,32,0.3580124
[4],Identity,10,0.0001,64,0.14069432
[4],Identity,10,0.0001,128,0.09466853
[4],Identity,10,0.0001,256,0.1096387
[4],Identity,10,0.0001,512,0.12871064
[4],Identity,25,0.1,16,0.016279824
[4],Identity,25,0.1,32,0.015782489
[4],Identity,25,0.1,64,0.015810175
[4],Identity,25,0.1,128,0.015924856
[4],Identity,25,0.1,256,0.01573774
[4],Identity,25,0.1,512,0.015986523
[4],Identity,25,0.01,16,0.01604351
[4],Identity,25,0.01,32,0.016142223
[4],Identity,25,0.01,64,0.017077724
[4],Identity,25,0.01,128,0.016245788
[4],Identity,25,0.01,256,0.018171754
[4],Identity,25,0.01,512,0.022587692
[4],Identity,25,0.001,16,0.018603032
