hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],ReLU,1,10.0,16,0.3
[4],ReLU,1,10.0,32,0.4
[4],ReLU,1,10.0,64,0.7
[4],ReLU,1,10.0,128,0.3
[4],ReLU,1,10.0,256,0.675
[4],ReLU,1,10.0,512,0.3
[4],ReLU,1,1.0,16,0.55
[4],ReLU,1,1.0,32,0.7
[4],ReLU,1,1.0,64,0.7
[4],ReLU,1,1.0,128,0.475
[4],ReLU,1,1.0,256,0.575
[4],ReLU,1,1.0,512,0.575
[4],ReLU,1,0.1,16,0.5
[4],ReLU,1,0.1,32,0.475
[4],ReLU,1,0.1,64,0.575
[4],ReLU,1,0.1,128,0.625
[4],ReLU,1,0.1,256,0.3
[4],ReLU,1,0.1,512,0.325
[4],ReLU,1,0.01,16,0.75
[4],ReLU,1,0.01,32,0.675
[4],ReLU,1,0.01,64,0.475
[4],ReLU,1,0.01,128,0.525
[4],ReLU,1,0.01,256,0.45
[4],ReLU,1,0.01,512,0.3
[4],ReLU,1,0.001,16,0.475
[4],ReLU,1,0.001,32,0.3
[4],ReLU,1,0.001,64,0.6
[4],ReLU,1,0.001,128,0.625
[4],ReLU,1,0.001,256,0.575
[4],ReLU,1,0.001,512,0.575
[4],ReLU,1,0.0001,16,0.475
[4],ReLU,1,0.0001,32,0.65
[4],ReLU,1,0.0001,64,0.7
[4],ReLU,1,0.0001,128,0.45
[4],ReLU,1,0.0001,256,0.7
[4],ReLU,1,0.0001,512,0.3
[4],ReLU,10,10.0,16,0.85
[4],ReLU,10,10.0,32,0.7
[4],ReLU,10,10.0,64,0.3
[4],ReLU,10,10.0,128,0.8
[4],ReLU,10,10.0,256,0.3
[4],ReLU,10,10.0,512,0.7
[4],ReLU,10,1.0,16,0.725
[4],ReLU,10,1.0,32,0.675
[4],ReLU,10,1.0,64,0.45
[4],ReLU,10,1.0,128,0.7
[4],ReLU,10,1.0,256,0.7
[4],ReLU,10,1.0,512,0.775
[4],ReLU,10,0.1,16,0.7
[4],ReLU,10,0.1,32,0.6
[4],ReLU,10,0.1,64,0.725
[4],ReLU,10,0.1,128,0.825
[4],ReLU,10,0.1,256,0.8
[4],ReLU,10,0.1,512,0.775
[4],ReLU,10,0.01,16,0.75
[4],ReLU,10,0.01,32,0.6
[4],ReLU,10,0.01,64,0.625
[4],ReLU,10,0.01,128,0.375
[4],ReLU,10,0.01,256,0.45
[4],ReLU,10,0.01,512,0.6
[4],ReLU,10,0.001,16,0.65
[4],ReLU,10,0.001,32,0.5
[4],ReLU,10,0.001,64,0.425
[4],ReLU,10,0.001,128,0.65
[4],ReLU,10,0.001,256,0.3
[4],ReLU,10,0.001,512,0.625
[4],ReLU,10,0.0001,16,0.7
[4],ReLU,10,0.0001,32,0.55
[4],ReLU,10,0.0001,64,0.7
[4],ReLU,10,0.0001,128,0.45
[4],ReLU,10,0.0001,256,0.325
[4],ReLU,10,0.0001,512,0.4
[4],ReLU,25,10.0,16,0.45
[4],ReLU,25,10.0,32,0.55
[4],ReLU,25,10.0,64,0.3
[4],ReLU,25,10.0,128,0.475
[4],ReLU,25,10.0,256,0.3
[4],ReLU,25,10.0,512,0.45
[4],ReLU,25,1.0,16,0.575
[4],ReLU,25,1.0,32,0.625
[4],ReLU,25,1.0,64,0.775
[4],ReLU,25,1.0,128,0.8
[4],ReLU,25,1.0,256,0.6
[4],ReLU,25,1.0,512,0.7
[4],ReLU,25,0.1,16,0.725
[4],ReLU,25,0.1,32,0.925
[4],ReLU,25,0.1,64,0.8
[4],ReLU,25,0.1,128,0.675
[4],ReLU,25,0.1,256,0.775
[4],ReLU,25,0.1,512,0.625
[4],ReLU,25,0.01,16,0.85
[4],ReLU,25,0.01,32,0.775
[4],ReLU,25,0.01,64,0.625
[4],ReLU,25,0.01,128,0.725
[4],ReLU,25,0.01,256,0.675
[4],ReLU,25,0.01,512,0.725
[4],ReLU,25,0.001,16,0.35
[4],ReLU,25,0.001,32,0.475
[4],ReLU,25,0.001,64,0.6
[4],ReLU,25,0.001,128,0.475
[4],ReLU,25,0.001,256,0.7
[4],ReLU,25,0.001,512,0.3
[4],ReLU,25,0.0001,16,0.3
[4],ReLU,25,0.0001,32,0.7
[4],ReLU,25,0.0001,64,0.5
[4],ReLU,25,0.0001,128,0.575
[4],ReLU,25,0.0001,256,0.3
[4],ReLU,25,0.0001,512,0.375
[4],ReLU,50,10.0,16,0.7
[4],ReLU,50,10.0,32,0.7
[4],ReLU,50,10.0,64,0.3
[4],ReLU,50,10.0,128,0.6
[4],ReLU,50,10.0,256,0.35
[4],ReLU,50,10.0,512,0.3
[4],ReLU,50,1.0,16,0.575
[4],ReLU,50,1.0,32,0.775
[4],ReLU,50,1.0,64,0.675
[4],ReLU,50,1.0,128,0.875
[4],ReLU,50,1.0,256,0.725
[4],ReLU,50,1.0,512,0.7
[4],ReLU,50,0.1,16,0.675
[4],ReLU,50,0.1,32,0.725
[4],ReLU,50,0.1,64,0.7
[4],ReLU,50,0.1,128,0.775
[4],ReLU,50,0.1,256,0.75
[4],ReLU,50,0.1,512,0.8
[4],ReLU,50,0.01,16,0.85
[4],ReLU,50,0.01,32,0.8
[4],ReLU,50,0.01,64,0.725
[4],ReLU,50,0.01,128,0.7
[4],ReLU,50,0.01,256,0.7
[4],ReLU,50,0.01,512,0.7
[4],ReLU,50,0.001,16,0.425
[4],ReLU,50,0.001,32,0.575
[4],ReLU,50,0.001,64,0.575
[4],ReLU,50,0.001,128,0.625
[4],ReLU,50,0.001,256,0.7
[4],ReLU,50,0.001,512,0.475
[4],ReLU,50,0.0001,16,0.375
[4],ReLU,50,0.0001,32,0.7
[4],ReLU,50,0.0001,64,0.625
[4],ReLU,50,0.0001,128,0.525
[4],ReLU,50,0.0001,256,0.675
[4],ReLU,50,0.0001,512,0.6
[4],ReLU,100,10.0,16,0.65
[4],ReLU,100,10.0,32,0.3
[4],ReLU,100,10.0,64,0.7
[4],ReLU,100,10.0,128,0.3
[4],ReLU,100,10.0,256,0.3
[4],ReLU,100,10.0,512,0.3
[4],ReLU,100,1.0,16,0.4
[4],ReLU,100,1.0,32,0.675
[4],ReLU,100,1.0,64,0.675
[4],ReLU,100,1.0,128,0.875
[4],ReLU,100,1.0,256,0.7
[4],ReLU,100,1.0,512,0.775
[4],ReLU,100,0.1,16,0.725
[4],ReLU,100,0.1,32,0.825
[4],ReLU,100,0.1,64,0.725
[4],ReLU,100,0.1,128,0.725
[4],ReLU,100,0.1,256,0.775
[4],ReLU,100,0.1,512,0.675
[4],ReLU,100,0.01,16,0.8
[4],ReLU,100,0.01,32,0.6
[4],ReLU,100,0.01,64,0.75
[4],ReLU,100,0.01,128,0.75
[4],ReLU,100,0.01,256,0.825
[4],ReLU,100,0.01,512,0.7
[4],ReLU,100,0.001,16,0.6
[4],ReLU,100,0.001,32,0.6
[4],ReLU,100,0.001,64,0.575
[4],ReLU,100,0.001,128,0.45
[4],ReLU,100,0.001,256,0.425
[4],ReLU,100,0.001,512,0.575
[4],ReLU,100,0.0001,16,0.575
[4],ReLU,100,0.0001,32,0.475
[4],ReLU,100,0.0001,64,0.725
[4],ReLU,100,0.0001,128,0.5
[4],ReLU,100,0.0001,256,0.7
[4],ReLU,100,0.0001,512,0.325
[4],ReLU,250,10.0,16,0.65
[4],ReLU,250,10.0,32,0.3
