hidden_layers,neurons,activation,epochs,learning_rate,batch_size,accuracy
1,4,linear,1,10.0,16,0.7121951219512195
1,4,linear,1,10.0,32,0.7170731707317073
1,4,linear,1,10.0,64,0.7707317073170732
1,4,linear,1,10.0,128,0.8
1,4,linear,1,10.0,256,0.7804878048780488
1,4,linear,1,10.0,512,0.2682926829268293
1,4,linear,1,1.0,16,0.7853658536585366
1,4,linear,1,1.0,32,0.7609756097560976
1,4,linear,1,1.0,64,0.7707317073170732
1,4,linear,1,1.0,128,0.7707317073170732
1,4,linear,1,1.0,256,0.697560975609756
1,4,linear,1,1.0,512,0.23902439024390243
1,4,linear,1,0.1,16,0.7658536585365854
1,4,linear,1,0.1,32,0.8
1,4,linear,1,0.1,64,0.8097560975609757
1,4,linear,1,0.1,128,0.7902439024390244
1,4,linear,1,0.1,256,0.7609756097560976
1,4,linear,1,0.1,512,0.7853658536585366
1,4,linear,1,0.01,16,0.7902439024390244
1,4,linear,1,0.01,32,0.824390243902439
1,4,linear,1,0.01,64,0.751219512195122
1,4,linear,1,0.01,128,0.7560975609756098
1,4,linear,1,0.01,256,0.7024390243902439
1,4,linear,1,0.01,512,0.6926829268292682
1,4,linear,1,0.001,16,0.7170731707317073
1,4,linear,1,0.001,32,0.5073170731707317
1,4,linear,1,0.001,64,0.4926829268292683
1,4,linear,1,0.001,128,0.3853658536585366
1,4,linear,1,0.001,256,0.4634146341463415
1,4,linear,1,0.001,512,0.4292682926829268
1,4,linear,1,0.0001,16,0.4878048780487805
1,4,linear,1,0.0001,32,0.5121951219512195
1,4,linear,1,0.0001,64,0.5121951219512195
1,4,linear,1,0.0001,128,0.4585365853658537
1,4,linear,1,0.0001,256,0.424390243902439
1,4,linear,1,0.0001,512,0.45365853658536587
1,4,linear,10,10.0,16,0.8195121951219512
1,4,linear,10,10.0,32,0.7268292682926829
1,4,linear,10,10.0,64,0.7414634146341463
1,4,linear,10,10.0,128,0.8048780487804879
1,4,linear,10,10.0,256,0.7707317073170732
1,4,linear,10,10.0,512,0.751219512195122
1,4,linear,10,1.0,16,0.7268292682926829
1,4,linear,10,1.0,32,0.751219512195122
1,4,linear,10,1.0,64,0.7804878048780488
1,4,linear,10,1.0,128,0.7804878048780488
1,4,linear,10,1.0,256,0.8
1,4,linear,10,1.0,512,0.7707317073170732
1,4,linear,10,0.1,16,0.7853658536585366
1,4,linear,10,0.1,32,0.8
1,4,linear,10,0.1,64,0.7853658536585366
1,4,linear,10,0.1,128,0.7853658536585366
1,4,linear,10,0.1,256,0.8048780487804879
1,4,linear,10,0.1,512,0.7658536585365854
1,4,linear,10,0.01,16,0.775609756097561
1,4,linear,10,0.01,32,0.7902439024390244
1,4,linear,10,0.01,64,0.8048780487804879
1,4,linear,10,0.01,128,0.8
1,4,linear,10,0.01,256,0.8
1,4,linear,10,0.01,512,0.7804878048780488
1,4,linear,10,0.001,16,0.7951219512195122
1,4,linear,10,0.001,32,0.751219512195122
1,4,linear,10,0.001,64,0.7804878048780488
1,4,linear,10,0.001,128,0.6097560975609756
1,4,linear,10,0.001,256,0.7853658536585366
1,4,linear,10,0.001,512,0.7219512195121951
1,4,linear,10,0.0001,16,0.6585365853658537
1,4,linear,10,0.0001,32,0.35121951219512193
1,4,linear,10,0.0001,64,0.6536585365853659
1,4,linear,10,0.0001,128,0.4975609756097561
1,4,linear,10,0.0001,256,0.4682926829268293
1,4,linear,10,0.0001,512,0.6341463414634146
1,4,linear,25,10.0,16,0.7609756097560976
1,4,linear,25,10.0,32,0.7463414634146341
1,4,linear,25,10.0,64,0.7560975609756098
1,4,linear,25,10.0,128,0.7609756097560976
1,4,linear,25,10.0,256,0.7219512195121951
1,4,linear,25,10.0,512,0.7268292682926829
1,4,linear,25,1.0,16,0.8048780487804879
1,4,linear,25,1.0,32,0.8048780487804879
1,4,linear,25,1.0,64,0.7463414634146341
1,4,linear,25,1.0,128,0.775609756097561
1,4,linear,25,1.0,256,0.7853658536585366
1,4,linear,25,1.0,512,0.775609756097561
1,4,linear,25,0.1,16,0.7658536585365854
1,4,linear,25,0.1,32,0.7853658536585366
1,4,linear,25,0.1,64,0.8
1,4,linear,25,0.1,128,0.7658536585365854
1,4,linear,25,0.1,256,0.8
1,4,linear,25,0.1,512,0.7853658536585366
1,4,linear,25,0.01,16,0.8048780487804879
1,4,linear,25,0.01,32,0.8048780487804879
1,4,linear,25,0.01,64,0.8048780487804879
