No,NamaSungai,TitikPantau,Waktu,pH,Temp,TSS,DO,BOD,COD,Nitrat,FecalColiform,Fosfat,O2,IP,Class
1,Citarum,Wangisagara,18/04/2018,7.57,25.55°C,11.0,6.11,3.3,6.1,1.08,17000.0,0.043,-,5.12,3
2,Citarum,Koyod,18/04/2018,7.69,25.55°C,13.0,6.2,5.31,12.5,1.85,28000.0,0.011,-,5.91,3
3,Citarum,Setelah IPAL Cisirung,18/04/2018,7.39,25.55°C,15.0,3.61,7.4,23.5,1.25,90000.0,0.23,-,7.76,3
4,Citarum,Nanjung,18/04/2018,7.49,25.55°C,17.0,3.17,8.13,27.5,1.21,300000.0,0.057,-,9.61,3
5,Citarum,Outlet Waduk Jatiluhur,18/04/2018,7.17,25.55°C,6.0,6.82,2.89,5.44,1.04,3000.0,0.11,-,2.44,2
6,Citarum,Bendung Walahar,18/04/2018,7.34,25.55°C,17.0,6.48,2.89,6.86,1.29,11000.0,0.099,-,4.45,2
7,Citarum,Tunggak Jati,18/04/2018,7.41,25.55°C,18.0,5.1,3.38,10.8,0.96,160000.0,0.51,-,8.64,3
8,Citarum,Wangisagara,30/05/2018,7.54,25.55°C,9.0,6.33,3.61,10.3,2.47,22000.0,0.0043,-,5.53,3
9,Citarum,Koyod,30/05/2018,7.64,25.55°C,13.0,2.18,9.15,26.8,2.9,170000.0,0.0043,-,8.74,3
10,Citarum,Setelah IPAL Cisirung,30/05/2018,7.82,25.55°C,27.0,1.45,12.0,45.7,3.05,280000.0,0.083,-,9.55,3
11,Citarum,Nanjung,30/05/2018,8.01,25.55°C,29.0,1.72,20.9,89.1,3.12,900000.0,0.046,-,11.4,4
12,Citarum,Outlet Waduk Jatiluhur,30/05/2018,6.55,25.55°C,10.0,4.97,3.05,9.33,1.67,50.0,0.0043,-,0.77,1
13,Citarum,Bendung Walahar,30/05/2018,6.76,25.55°C,12.0,2.53,3.45,9.33,2.89,240.0,0.0043,-,0.97,1
14,Citarum,Tunggak Jati,30/05/2018,7.03,25.55°C,16.0,2.73,4.26,14.1,3.14,300.0,0.046,-,1.3,2
15,Citarum,Wangisagara,09/07/2018,7.54,25.55°C,9.0,6.33,3.61,10.3,0.06,110000.0,0.048,-,8.01,3
16,Citarum,Koyod,09/07/2018,7.64,25.55°C,13.0,2.18,9.15,26.8,0.06,500000.0,0.065,-,10.4,4
17,Citarum,Setelah IPAL Cisirung,09/07/2018,7.82,25.55°C,27.0,1.45,12.0,45.7,0.087,500000.0,0.16,-,10.45,4
18,Citarum,Nanjung,09/07/2018,8.01,25.55°C,29.0,1.72,20.9,89.1,0.087,900000.0,0.27,-,11.4,4
19,Citarum,Outlet Waduk Jatiluhur,09/07/2018,6.94,25.55°C,6.0,4.02,4.02,9.11,0.15,130.0,0.047,-,1.19,2
20,Citarum,Bendung Walahar,09/07/2018,7.08,25.55°C,9.0,2.68,4.26,11.0,0.16,140.0,0.13,-,1.29,2
21,Citarum,Tunggak Jati,09/07/2018,7.26,25.55°C,14.0,2.68,5.14,14.1,0.2,1600.0,0.14,-,1.63,2
